,mass flow (kg/s),mole flow (kmol/s),mole percent Ar (%),mole percent C2H6 (%),mole percent C3H8 (%),mole percent C4H10 (%),mole percent CH4 (%),mole percent CO2 (%),mole percent H2O (%),mole percent N2 (%),mole percent O2 (%),pressure (bar),temperature (K),volumetric flow (m**3/s)
air01,1101.1142875335254,38.15970147188252,0.9199999999999999,,,,,0.03,0.9900000000000001,77.32,20.74,1.03421,288.15,883.3174737395727
air02,1101.1142875335254,38.15970147188252,0.9199999999999999,,,,,0.03,0.9900000000000001,77.32,20.739999999999995,1.098871958586098,288.17001809219937,831.358023518524
air03,1101.1142875335254,38.15970147188252,0.9199999999999999,,,,,0.030000000000000002,0.9900000000000001,77.32,20.74,19.230259275256714,709.6448666690012,117.77866907868057
air04a,1008.735200805782,34.958255071916064,0.9199999999999998,,,,,0.030000000000000002,0.9899999999999999,77.32,20.739999999999995,19.230259275256717,709.6448666690013,107.89750959443731
air04b,1008.7352008057821,34.958255071916064,0.9199999999999998,9.999999999999999e-19,9.999999999999999e-19,9.999999999999999e-19,9.999999999999999e-19,0.03,0.9899999999999999,77.32,20.74,19.230259275256717,709.6448666690013,107.89750959443731
air05,67.35725204609936,2.334301406444371,0.9199999999999996,,,,,0.030000000000000002,0.9900000000000001,77.32,20.74,19.230259275256714,709.6448666690012,7.204744855828849
air06a,67.35725204609938,2.3343014064443715,0.9199999999999996,,,,,0.029999999999999992,0.9899999999999999,77.32,20.73999999999999,7.138926753087094,709.7299446050223,19.337625919093348
air06b,67.35725204609936,2.334301406444371,0.9199999999999996,,,,,0.030000000000000002,0.9900000000000001,77.32,20.74,7.138926753087094,709.7299446050223,19.337625919093345
air07,14.770272081463354,0.5118716373662182,0.9199999999999996,,,,,0.03,0.9899999999999998,77.32,20.73999999999999,19.230259275256714,709.6448666690012,1.579875047831291
air08a,14.770272081463354,0.5118716373662182,0.9199999999999996,,,,,0.03,0.9900000000000001,77.32,20.739999999999995,2.799729194720437,709.7563948522981,10.798449885745358
air08b,14.770272081463354,0.5118716373662182,0.9199999999999996,,,,,0.03,0.9899999999999998,77.32,20.73999999999999,2.799729194720437,709.7563948522981,10.798449885745358
air09,10.251562600180801,0.3552733561558699,0.9199999999999999,,,,,0.030000000000000002,0.9900000000000001,77.32,20.74,19.230259275256714,709.6448666690012,1.0965395805831015
air10a,10.251562600180803,0.35527335615586997,0.9199999999999996,,,,,0.03,0.9899999999999999,77.32,20.73999999999999,1.1004073197656847,709.7661542564666,19.05922034592483
air10b,10.251562600180803,0.35527335615586997,0.9199999999999999,,,,,0.030000000000000002,0.9900000000000001,77.32,20.74,1.1004073197656845,709.7661542564666,19.059220345924835
fuel01,25.951369858996514,1.5050225989685424,9.999999999999999e-18,3.2,0.7000000000000001,0.4,93.10000000000001,1.0,1e-17,1.6,9.999999999999999e-18,31.026400000000002,299.817,1.123265218918518
fuel02,25.951369858996514,1.5050225989685424,9.999999999999999e-18,3.2,0.7000000000000001,0.4,93.10000000000001,1.0,1e-17,1.6,9.999999999999999e-18,31.026400000000002,446.9152940935446,1.7793820741823747
g01,1034.6865706647786,36.4632776708846,0.8820269794847143,0.13208007135751537,0.02889251560945649,0.01651000891968942,3.8427045760577134,0.07003677163024685,0.9491377279237687,74.1946553115028,19.883956037514103,19.230259275256717,691.779334297078,109.70337389375473
g02a,1034.8162733317547,36.506923326254686,0.8809724768844904,9.203858737820515e-18,9.999999999999999e-19,9.999999999999999e-19,9.999999999999999e-19,4.324442820168926,9.217873630897678,74.10595229133622,11.470758780712686,18.26874631149388,1641.346632623365,273.5412334548064
g02b,1034.816273331755,36.50692332625469,0.8809724768844904,,,,,4.324442820168925,9.217873630897678,74.10595229133621,11.470758780712684,18.26874631149388,1641.346632623365,273.54123345480645
g03,1034.816273331755,36.50692332625469,0.8809724768844902,,,,,4.324442820168925,9.217873630897678,74.10595229133622,11.470758780712684,7.138926753087094,1365.419339353719,581.3896126443778
g04,1102.1735253778545,38.84122473269906,0.8833179745541835,,,,,4.0663530203749465,8.72339033072301,74.29911190816976,12.027826766178107,7.138926753087094,1329.388517334568,602.2622008370582
g05,1102.1735253778545,38.841224732699075,0.8833179745541833,,,,,4.066353020374946,8.723390330723008,74.29911190816975,12.027826766178105,2.799729194720437,1099.268303806524,1268.8288839048048
g06,1116.943797459318,39.35309637006529,0.8837951031707042,,,,,4.013851570168883,8.622800960734061,74.33840505347462,12.141147312451736,2.799729194720437,1094.565423163603,1280.0531254498767
g07,1116.9437974593177,39.35309637006528,0.8837951031707042,,,,,4.0138515701688835,8.62280096073406,74.33840505347462,12.141147312451736,1.1004073197656845,899.6056443854434,2675.690182836732
g08,1127.1953600594984,39.70836972622114,0.8841190307279047,,,,,3.9782077921059913,8.554509796103368,74.36508157660194,12.21808180446081,1.1004073197656845,898,2695.028135937663
st01,16.49573649050468,0.9156531276972777,,,,,,,100.0,,,43.43032780496082,460.1972472502731,0.01871223337486358
st02,16.49573649050468,0.9156531276972777,,,,,,,100.0,,,43.43032780496082,325.6752232356305,0.016684025436424825
